feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
are,11.173921218152952,82,0,0.00026195097199813,-0.0013130557065270296,0.0013130557065270296,-1,0.0037358954444526257,0.002422839737925596,0.61328125,148
hyperdetailed,2.1352291261730265,202,0,0.0012147929007635823,0.001136506799589575,0.001136506799589575,1,0.003467717603961434,0.004604224403551009,0.6106770833333334,149
amano,11.231325263063571,80,0,0.0007268587423441084,-0.0007957504134822294,0.0007957504134822294,-1,0.0030603358877743375,0.002264585474292108,0.6106770833333334,150
contrast,0.33265435306181634,358,0,0.0016945949611314036,0.0019167050677245919,0.0019167050677245919,1,0.001833656259362975,0.003750361327087567,0.6087239583333334,151
baarle,0.4309210211486038,331,0,0.0022949420915420755,0.0014174947345618964,0.0014174947345618964,1,0.0017461642171110734,0.0031636589516729698,0.6080729166666666,152
ornate,0.07943622411106599,426,0,0.0027833294754732248,0.002074988733674286,0.002074988733674286,1,0.0025764081659302744,0.0046513968996045605,0.6080729166666666,153
golden,0.022272830714491817,470,0,0.002915337315798905,0.0025113260586567014,0.0025113260586567014,1,0.00481479193022947,0.007326117988886172,0.6067708333333334,154
clear,1.1148864777800611,257,0,0.0006928932512215563,0.0017557702098264193,0.0017557702098264193,1,0.0016316008456183889,0.003387371055444808,0.6061197916666666,155
tracing,0.5086979279336914,321,0,0.0012333423830084614,0.001776520788299135,0.001776520788299135,1,0.0018342438956850593,0.003610764683984194,0.6061197916666666,156
gaston bussiere,11.646313520836108,77,0,0.0001697893161248679,0.0013823840312075456,0.0013823840312075456,1,0.0014561608485783072,0.002838544879785853,0.6061197916666666,157
scifi,0.6991298104964865,296,0,0.0023278174656035954,0.0011886766417931042,0.0011886766417931042,1,0.0016919680112415048,0.002880644653034609,0.6048177083333334,158
rossdraws,2.525962862815817,184,0,0.001299092986091111,-0.0009344709237443633,0.0009344709237443633,-1,0.004030379866891105,0.0030959089431467413,0.603515625,159
looking,0.7615027555891344,288,0,0.000502995543326203,-0.0023038461324441147,0.0023038461324441147,-1,0.005859822555373202,0.0035559764229290873,0.6028645833333334,160
her,3.855971042360823,145,0,0.0006014741938484603,-0.0011290238515187226,0.0011290238515187226,-1,0.0039021673564397503,0.0027731435049210278,0.599609375,161
wlop,10.153403854280445,88,0,0.0014403368504219975,0.0004348316535510051,0.0004348316535510051,1,0.007013314716614275,0.0074481463701652805,0.5983072916666666,162
of beautiful,21.23956667190345,43,0,0.0004458476072567882,-0.0007607484130372393,0.0007607484130372393,-1,0.00443654351202569,0.003675795098988451,0.5983072916666666,163
bussiere,9.567093093388904,94,0,8.01796765777611e-05,0.0015671096509183734,0.0015671096509183734,1,0.0015360175477151796,0.003103127198633553,0.5963541666666666,164
magic,0.7183054772837486,295,0,0.0006949461243331478,0.0019223383070133106,0.0019223383070133106,1,0.0031564071765754712,0.005078745483588782,0.595703125,165
side,2.6492147564719333,181,0,0.000469462870496161,0.0013595395881364249,0.0013595395881364249,1,0.001960004457465488,0.0033195440456019127,0.59375,166
hyper detailed,0.6151320451235489,310,0,0.0005582420428425888,0.002274659726935766,0.002274659726935766,1,0.004270090165407978,0.006544749892343744,0.5930989583333334,167
kuvshinov,9.033582123156835,99,0,0.0006532237583167148,0.0008031127222544185,0.0008031127222544185,1,0.004864480910969307,0.0056675936332237255,0.591796875,168
oil painting,2.51213105945433,185,0,0.0005359699862798777,0.0013121198979839594,0.0013121198979839594,1,0.0072621941454144604,0.00857431404339842,0.5904947916666666,169
hdr,0.8137896128670244,277,0,0.0009488940606680412,0.0014294445627303256,0.0014294445627303256,1,0.0036135954042161972,0.005043039966946523,0.5904947916666666,170
on artstation,0.03620684913371468,456,0,0.003040431988183352,-0.001980225178413144,0.001980225178413144,-1,0.019224244950304125,0.01724401977189098,0.58984375,171
global illumination,0.025748724950246937,465,0,0.003333878559608229,0.0019881793061692385,0.0019881793061692385,1,0.0021190289128900958,0.004107208219059334,0.5891927083333334,172
detailed digital,26.58932888330969,35,1,0.001290785586762161,0.00022780629437344456,0.00022780629437344456,1,0.008032196912697805,0.00826000320707125,0.587890625,173
evil,0.00665979533342008,488,0,0.0031674852155751296,0.002261898575070748,0.002261898575070748,1,0.0013014115251065326,0.0035633101001772806,0.587890625,174
unreal engine,0.533107468360407,316,0,0.0017592191825713248,0.0013565061410526005,0.0013565061410526005,1,0.008916410470663952,0.010272916611716552,0.587890625,175
mucha,99.89959074753044,1,1,0.001638802510453877,-2.8476794104160402e-05,2.8476794104160402e-05,-1,0.009372596500711343,0.009344119706607182,0.5859375,176
hair,37.22836787855927,15,1,0.0010622746695606931,0.00021396020625233728,0.00021396020625233728,1,0.010110901317891267,0.010324861524143605,0.5852864583333334,177
photo of,0.7842556884290262,281,0,0.0004890053878625672,-0.001960978406267801,0.001960978406267801,-1,0.01115911330845408,0.009198134902186279,0.5846354166666666,178
trending on,0.24274584898601997,377,0,0.0033797200619787525,-0.0013143741507843192,0.0013143741507843192,-1,0.020326400001133282,0.019012025850348963,0.5846354166666666,179
by artgerm,57.278208384395576,6,1,0.0010547634875636477,-0.00016566028165388314,0.00016566028165388314,-1,0.007522563233561077,0.007356902951907194,0.5813802083333334,180
